text,category
Blue Dart courier charges for warehouse delivery,Logistics
DHL express shipping charges for bulk order,Logistics
FedEx freight delivery charges Q1,Logistics
Delhivery last mile delivery fee,Logistics
DTDC courier service invoice for inter-city shipment,Logistics
Ekart logistics charges for e-commerce fulfillment,Logistics
Shiprocket platform fee for order dispatch,Logistics
XpressBees delivery charges for January,Logistics
Ecom Express freight bill for 500 parcels,Logistics
TNT courier invoice for international shipment,Logistics
Shadowfax hyperlocal delivery charges,Logistics
Porter truck rental for goods transport,Logistics
Rivigo relay trucking bill,Logistics
Blackbuck freight booking invoice,Logistics
Road transport charges for raw material delivery,Logistics
Warehouse handling and packing charges,Logistics
Customs clearance fee for imported goods,Logistics
Air freight charges for urgent delivery,Logistics
Sea cargo shipping invoice,Logistics
Last-mile delivery charges for grocery orders,Logistics
Amazon office stationery supplies,Office Supplies
Staples printer paper and toner cartridges,Office Supplies
Classmate notebooks and pens for team,Office Supplies
Office desk organizer and file folders purchase,Office Supplies
HP ink cartridge replacement for office printer,Office Supplies
Whiteboard markers and erasers reorder,Office Supplies
"Sticky notes, highlighters, and staplers",Office Supplies
Pentel pens and ballpoint refill purchase,Office Supplies
A4 paper ream purchase for office use,Office Supplies
Printer paper and envelopes monthly order,Office Supplies
"Binder clips, scissors, and tape dispensers",Office Supplies
Letterhead and business card printing,Office Supplies
Office chair mat and desk accessories,Office Supplies
Paper shredder purchase for document security,Office Supplies
Lamination sheets and binding supplies,Office Supplies
Whiteboard stand and presentation materials,Office Supplies
Label maker and label rolls purchase,Office Supplies
Correction fluid and rubber bands restock,Office Supplies
Manila folders and document wallets,Office Supplies
Receipt book and log registers for office,Office Supplies
AWS monthly cloud hosting bill,Cloud/Software
Microsoft Azure compute charges for Q2,Cloud/Software
Google Cloud Platform storage invoice,Cloud/Software
GitHub Enterprise license renewal,Cloud/Software
Slack premium subscription monthly,Cloud/Software
Zoom Pro plan annual billing,Cloud/Software
Jira Software cloud subscription,Cloud/Software
Salesforce CRM monthly license fee,Cloud/Software
Figma professional plan renewal,Cloud/Software
Notion team plan monthly subscription,Cloud/Software
Datadog monitoring service invoice,Cloud/Software
New Relic APM subscription,Cloud/Software
Twilio SMS API usage charges,Cloud/Software
SendGrid email service monthly plan,Cloud/Software
Stripe payment gateway subscription,Cloud/Software
DigitalOcean droplet monthly charges,Cloud/Software
Heroku dyno compute invoice,Cloud/Software
Adobe Creative Cloud annual license,Cloud/Software
Postman API client team subscription,Cloud/Software
MongoDB Atlas database hosting charges,Cloud/Software
Electricity bill for office building May,Utilities
Water supply charges for factory premises,Utilities
Internet broadband bill for corporate office,Utilities
Reliance Jio fiber monthly plan renewal,Utilities
Airtel Broadband monthly internet invoice,Utilities
BSNL leased line charges for data center,Utilities
Gas connection bill for cafeteria,Utilities
Municipal water tax quarterly payment,Utilities
BESCOM electricity bill for warehouse,Utilities
Tata Power commercial electricity invoice,Utilities
Generator fuel and maintenance charges,Utilities
Diesel expense for backup power generator,Utilities
Sewage and waste disposal charges,Utilities
Office phone line monthly billing,Utilities
Mobile data recharge for field staff,Utilities
Solar panel maintenance and electricity offset,Utilities
Air conditioning electricity surcharge,Utilities
Water purifier AMC and filter charges,Utilities
Landline and broadband combo bill,Utilities
Three-phase power connection upgrade fee,Utilities
Flight booking Chennai to Delhi for client meeting,Travel
Hotel stay for 3 nights in Hyderabad,Travel
MakeMyTrip train ticket booking for team offsite,Travel
Ola cab charges for airport transfer,Travel
Uber ride expense for business meetings,Travel
Conference attendance travel reimbursement,Travel
IRCTC train booking for employee travel,Travel
International flight to Singapore for trade show,Travel
Visa processing fee for business trip,Travel
Travel insurance for international business trip,Travel
Per diem meal allowance for field executive,Travel
Airbnb stay for week-long workshop,Travel
Car rental for outstation client visit,Travel
Toll charges and highway tax for delivery trip,Travel
Metro card recharge for daily office commute,Travel
Fuel reimbursement for client site visits,Travel
Business class upgrade for executive travel,Travel
Airport lounge membership for frequent flyer,Travel
Currency exchange fee for international trip,Travel
Baggage allowance extra fee for team travel,Travel
Raw material purchase for manufacturing,Inventory
Steel rods and iron sheets for production,Inventory
Electronic components for product assembly,Inventory
Packaging materials bulk purchase,Inventory
Plastic granules for injection moulding,Inventory
Cotton fabric rolls for garment production,Inventory
Spare parts for machinery maintenance,Inventory
Chemical reagents for laboratory stock,Inventory
Finished goods purchase from supplier,Inventory
Semi-finished components restock,Inventory
Cardboard boxes and bubble wrap purchase,Inventory
Aluminum sheets for fabrication work,Inventory
Welding rods and industrial adhesives,Inventory
Glass panels for construction inventory,Inventory
PVC pipes and fittings restock,Inventory
Lubricants and industrial oils purchase,Inventory
Resale product bulk procurement invoice,Inventory
Rubber gaskets and O-rings stock replenishment,Inventory
Safety equipment and PPE kit purchase,Inventory
Machine spare parts and bearings reorder,Inventory
